Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Owner,Regarding,Start Date,Start Date Year,Start Date Month,Start Date Day,Start Date Hour,Start Date Minute,Start Date Second,Due Date Year,Due Date Month,Due Date Day,Due Date Hour,Due Date Minute,Due Date Second,Actual Start Date Year,Actual Start Date Month,Actual Start Date Day,Actual Start Date Hour,Actual Start Date Minute,Actual Start Date Second,Actual End Date Year,Actual End Date Month,Actual End Date Day,Actual End Date Hour,Actual End Date Minute,Actual End Date Second
Print ads in major dailies,Campaign Activity,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Print ads in all leading dailies and magazines for 2 weeks,,,First name Last name,Patricia San Juan,New customer loyalty program,,0,0,1,10,0,0,0,0,1,14,0,0,,,,,,,,,,,,
Send personalized email to all customers,Campaign Activity,Open,High,6/26/2007,,,,First name Last name,6/26/2007,Send an email invite to all existing customers,,,First name Last name,Patricia San Juan,New customer loyalty program,,0,2,0,10,0,0,0,5,0,10,0,0,,,,,,,,,,,,
Seminar on AWCC's environment care program for lead creation,Campaign Activity,Open,High,6/26/2007,,,,First name Last name,6/26/2007,Seminar on AWCC's environment care program for lead creation,,,First name Last name,Patricia San Juan,Charity event to support Mountains to Sound Greenway project,,0,1,0,10,0,0,0,4,0,10,0,0,,,,,,,,,,,,
Send product brochure and offer details,Campaign Activity,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Send the product brochure and offer details through direct mail,,,First name Last name,Patricia San Juan,Product launch campaign for new mountain bike series WX-1300,,0,0,20,15,0,0,0,0,21,10,0,0,,,,,,,,,,,,
TV ads for the loyalty program,Campaign Activity,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,TV slots during prime time showing the loyalty program ad,,,First name Last name,Patricia San Juan,New customer loyalty program,,0,1,10,10,0,0,0,2,10,10,0,0,,,,,,,,,,,,
"Banners on major portals (yahoo,msn etc)",Campaign Activity,Open,Low,6/26/2007,,,,First name Last name,6/26/2007,Loyalty program banner on all major search engines and portals which links to the AWCC website,,,First name Last name,Patricia San Juan,New customer loyalty program,,-1,-2,-15,10,0,0,-1,-2,-12,10,0,0,-1,-1,-10,10,0,0,-1,-1,-7,10,0,0
Make calls to all leads regarding the new product,Campaign Activity,Open,High,6/26/2007,,,,First name Last name,6/26/2007,Make phone calls to all leads regarding the new product,,,First name Last name,Patricia San Juan,Product launch campaign for new mountain bike series WX-1300,,0,-11,10,10,0,0,0,-11,16,10,0,0,0,-11,10,10,0,0,0,-11,16,10,0,0
Seminar on new product features and accessories,Campaign Activity,Open,High,6/26/2007,3 hours,,,First name Last name,6/26/2007,"Seminar about this new product, including specifications, features, accessories, enhancements, benefits.",,,First name Last name,Patricia San Juan,Product launch campaign for new mountain bike series WX-1300,,-1,0,-2,10,0,0,-1,0,-2,12,0,0,-1,0,-2,10,0,0,-1,0,-2,13,0,0
TV ad campaign featuring celebrity endorsement,Campaign Activity,Open,High,6/26/2007,,,,First name Last name,6/26/2007,TV ad campaign featuring celebrity endorsement,,,First name Last name,Patricia San Juan,New ad campaign for road bikes series,,-1,0,8,10,0,0,-1,0,12,10,0,0,-1,0,8,10,0,0,-1,0,12,10,0,0
Send reminder emails to all converted leads,Campaign Activity,Completed,Low,6/26/2007,,,,First name Last name,6/26/2007,Send reminder emails to all converted leads,,,First name Last name,Patricia San Juan,Product launch campaign for new mountain bike series WX-1300,,0,5,12,10,0,0,0,7,12,10,0,0,,,,,,,,,,,,
Research on brand awareness of retail chains,Campaign Activity,Canceled,Normal,6/26/2007,,,,First name Last name,6/26/2007,Research on brand awareness of retail chains,,,First name Last name,Patricia San Juan,Co-branding with the large retailer 'More Bikes!',,0,-4,13,12,0,0,0,8,14,22,0,0,,,,,,,,,,,,
