Number,Subject,Title,Article,ArticleXML,Created By,Created On,Description,Key Words,Modified By,Modified On,Status,BaseTemplate
KBA-01050,Service,Straightening the Derailleur Hanger,{6034f210-0978-4869-b8bc-1a04f7b14766},"<articledata><section id='0'><content>The derailleur hanger is the thing that sticks down behind the right dropout (rear wheel axle slot in the frame) to attach the rear derailleur. On some bikes, it's part of the frame. On most upper-end bikes, it's a separate piece of metal, designed to be replaced if it's damaged. </content></section></articledata>",First name Last name,1/18/2008,Straightening the Derailleur Hanger,derailleur hanger,First name Last name,1/18/2008,Published,Procedure
KBA-01031,Service,Adjust The Front Wheel Bearings,{619933e6-4de2-457e-802f-1d27ef45ddfb},"<articledata><section id='0'><content>To overhaul the bearings, unscrew one locknut and bearing cone from the axle over a cloth. In most hubs, the bearings will fall out. Clean everything as much as you can, using a non-flammable, safe-to-breathe solvent. Examine everything for wear, especially the bearing cones, the cups (inner surfaces of the hub) and the bearing balls. The bearing balls should be shiny, not dull. Although rare, you should check for cracking of the hub body itself, especially around the outsides of the cups. Put fresh grease in the cups, stick the bearings into the grease, put the cones and locknuts back on the axle, and adjust properly. </content></section></articledata>",First name Last name,1/18/2008,Adjust The Front Wheel Bearings,"bearings, locknut, cones",First name Last name,1/18/2008,Published,Procedure
KBA-01014,Components,Headset Basics,{667b170f-3a6f-41e4-85bf-202c421532b2},"<articledata><section id='0'><content><![CDATA[The headset is the bearing assembly that connects the front fork to the frame.<BR>It permits the fork to turn for steering and balancing. The handlebar should turn smoothly.]]></content></section><section id='1'><content><![CDATA[<P>There are both threaded and threadless headsets.</P><P>The threaded headset consists of bearings, cups, cones, lock nets, and seals. It fits a fork with a threaded steerer. The threadless headset is very similiar, but it has an adjustable race that fits over an unthreaded steerer.</P><P>The headset bearings must be kept adjusted so there is no wobble.</P><P>There are four races: the crown race, lower head race, upper head race, and adjustable race.</P>]]></content></section></articledata>",First name Last name,1/18/2008,,"headset, steer, steerer, balance, bearing, cup, cone, lock, net, seal",First name Last name,1/18/2008,Published,Procedure
KBA-01013,Components,Frame Basics,{05e5e56d-ae6c-4f76-874c-2776bbee3b5e},"<articledata><section id='0'><content><![CDATA[The frame is the skeleton of the bicycle.  The front portion of the frame contains the headtube, seattube, downtube, and bottom bracket.  It holds the saddle and front fork.  The back portion of the frame includes the seat tube, chain stays, and seat stays.]]></content></section><section id='1'><content><![CDATA[<P>A frame set consists of the frame and forks.</P><P>The frame size is generally measured from the center of the bottom bracket to the top of the<BR>seat tube.  Measurements may be in inches or centimeters; Adventure Works Cycle bikes are measured in inches.</P><P>Bicycle frames may be made of aluminum, titanium, or steel.  Each has different properties such as strenth, stiffness, and weight, that affect the ride quality.  The material that the frame is<BR>made out of is less important than the diameter of the tubes, the frame geometry, and the thickness of the tube walls.</P>]]></content></section></articledata>",First name Last name,1/18/2008,,"frame, fork, tube",First name Last name,1/18/2008,Published,Procedure
KBA-01026,Touring Bikes,Owner's Manual for Adventure Works Cycle Touring Bikes,{0135527b-8a19-4a60-81c0-290ddc2985b1},<articledata><section id='0'><content><![CDATA[This manual is for all models of touring bikes:<BR>Touring-3000<BR>Touring-2000<BR>Touring-1000]]></content></section><section id='1'><content><![CDATA[<P>TABLE OF CONTENTS</P><P>1. Parts of a Bicycle</P><P>2. Geometry and Specifications</P><P>3. Performing a Safety Check </P><P>4. Maintaining Your Bicycle: Tuning Basics</P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P>Releasing the front and rear wheels<BR>Cleaning and lubrication</P></BLOCKQUOTE><P>5. Maintaining Your Bicycle: Advanced</P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P>Maintenance schedule<BR>The brake system<BR>Gears and Drive train<BR>Handlebars and headset<BR>Front and rear suspension</P></BLOCKQUOTE><P>6. Dealers</P><P>7. Warranty Information</P>]]></content></section></articledata>,First name Last name,1/18/2008,,"owner's, manual, touring, bike, part, geometry, specification, maintenance, warranty",First name Last name,1/18/2008,Published,Procedure
KBA-01046,Service,Tuning the Front Derailleur,{5c9df2b5-ea53-4d39-82e6-2a15b8d86f25},"<articledata><section id='0'><content>Check that the derailleur clamp is still in the original position, aligned properly so the outside edge of the cage is parallel to the large chainwheel. Check the height. The bottom edge of the outside edge of the cage should lie about 1 to 2 mm above the large chainwheel when you push the shift lever so bring the cage over top. The derailleur should sit just high enough to allow shifting into the big chainring.</content></section></articledata>",First name Last name,1/18/2008,Tuning the Front Derailleur,"front derailleur, tuning",First name Last name,1/18/2008,Published,Procedure
KBA-01007,Components,Gear and Drivetrain Basics,{7a5f4e36-f0d6-4e52-baeb-2a764ac4bb3c},"<articledata><section id='0'><content><![CDATA[Gears allows you to adjust the pedaling speed and amount of resistance from the pedals. You change gears depending upon the riding conditions (wind, hills) and your own condition (fresh, tired). Gears allow you to climb hills more easily. The shifting system allows you to change to different gears.]]></content></section><section id='1'><content><![CDATA[<P>The shifting system includes the shift levers, cables, derailleurs, chains, and sprockets.</P><P>Bikes are available in multi-speed and single speed (1 gear). A 10-speed bike has a 2 sprockets in the front, and 5 sprockets on the hub of the rear wheel. The sprockets are attached to the pedal cranks. The number of front sprockets times the number of rear sprockets defines the total number of gears on a bike. A 24-speed bike has 3 front sprockets and 8 rear sprockets.</P><P>The derailleur controls shifting between different sprockets.</P>]]></content></section></articledata>",First name Last name,1/18/2008,,"gear, drivetrain, speed, shift, sprocket, derailleur",First name Last name,1/18/2008,Published,Procedure
KBA-01047,Service,Rim Truing,{8a0195b7-c659-49ce-801f-2b365d32ff1a},"<articledata><section id='0'><content>Replace any bent or broken spokes. Remove a spoke by unscrewing the nipple from inside the rim, then turning the spoke and pulling it out through the hub. For a non-radially laced wheel (virtually all mountain bikes), you may need to remove TWO spokes to replace one, because the shaft of one spoke may overlie the head of another.</content></section></articledata>",First name Last name,1/18/2008,Rim Truing,truing,First name Last name,1/18/2008,Published,Procedure
KBA-01054,Service,Painting bikes,{28b9face-098d-4a5e-ad26-31a0a22c7cf6},"<articledata><section id='0'><content>Hold the spraycan or gun about one foot from the bike. Too close and you cannot control the application - the paint may run or sag. Too far, and the paint may be dry by the time it hits the bike, resulting in a grainy finish, and weak paint. You may need to adjust closer or farther away, depending on the paint and equipment. Paint all sides of each intersection and dropout first. Then, working one tube at a time, go all the way around each frame tube. Depending on what kind of paint you use, wait the recommended time between coats. Make sure not to mix brands or types of paint.Paint only when the weather is right. If the temperature is too cold or hot, of if it is too wet or windy out, you may have an assortment of problems, such as insects getting stuck in the paint, or paint which refuses to harden.</content></section></articledata>",First name Last name,1/18/2008,Painting bikes,painting,First name Last name,1/18/2008,Draft,Procedure
KBA-01045,Service,Adjust 3-speed wheels,{4f901107-c2cf-4e5b-9f86-32f48c4c5399},"<articledata><section id='0'><content>Hold the shifter exactly between third and second gear. Turn the connection between the cable and the little chain, called the 'indicator chain,' until you can turn the pedals forward without turning the rear wheel. When this 'neutral' is directly between third and second, the adjustment is correct. Tighten the little knurled nut on the indicator chain. This adjustment must be done carefully, because if not correct, the rider may be in for a serious letdown if the bike slips into neutral when not expected. </content></section></articledata>",First name Last name,1/18/2008,Adjust 3-speed wheels,,First name Last name,1/18/2008,Published,Procedure
