Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Owner,Regarding,Start Date
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Road-150 quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Touring Bike Quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,High end road bikes,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Model 250 road bike quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,red frame quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Touring bike and cap quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Mountain bike (200 model) quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,"Helmet quote, blue",
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Touring-3000 quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Mountain-100 quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Road-550-W quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Road-750 quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,"Helmet quote, blue",
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,High end road bikes,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Touring-3000 quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Touring bike and cap quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Mountain-100 quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Model 250 road bike quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,red frame quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Road-150 quote,
Close Quote,Quote Close,Completed,Normal,06/26/2007,,,,First name Last name,06/26/2007,,,,First name Last name,First name Last name,Touring Bike Quote,
