Name,Customer,Status Reason,Total Amount,Bill To City,Bill To Contact Name,Bill To Country/Region,Bill To Fax,Bill To Name,Bill To Phone,Bill To State/Province,Bill To Street 1,Bill To Street 2,Bill To Street 3,Bill To ZIP/Postal Code,Created By,Created On,Date Fulfilled,Date Submitted,Description,Freight Amount,Freight Terms,Last Submitted to Backoffice,Modified By,Modified On,Opportunity,Order Discount Amount,Order ID,Owner,Payment Terms,Price List,Prices Locked,Priority,Quote,Requested Delivery Date,Ship To,Ship To City,Ship To Contact Name,Ship To Country/Region,Ship to Fax,Ship To Freight Terms,Ship To Name,Ship To Phone,Ship To State/Province,Ship To Street 1,Ship To Street 2,Ship To Street 3,Ship To ZIP/Postal Code,Shipping Method,Source Campaign,Status,Submitted Status,Submitted Status Description,Total Detail Amount,Total Discount Amount,Total Line Item Discount Amount,Total Pre-Freight Amount,Total Tax,Date Submitted Year, Date Submitted Month,Date Submitted Day,Date Submitted Hour,Date Submitted Minute,Date Submitted Second,Requested Delivery Date Year,Requested Delivery Date Month,Requested Delivery Date Day,Requested Delivery Date Hour,Requested Delivery Date Minute,Requested Delivery Date Second
Blue touring bikes,Wide World Importers,New,"$28,483.03 ",Santa Fe,,US,,,555-0135,NM,100 SE Rock STREET,,,20940,First name Last name,6/26/2007,,4/11/2008,Wide World Importers order for,"$1,918.42 ",FOB,,First name Last name,6/26/2007,,$396.91 ,SO6,Jose Curry,Net 45,Wholesale,No,,,6/24/2008,,Santa Fe,,US,,,,555-0150,NM,100 SE Rock STREET,,,20940,FedEx,,Active,,,"$25,001.46 ",$396.91 ,$0.00 ,"$24,604.55 ","$1,960.07 ",-1,0,1,0,0,0,-1,2,1,0,0,0
Bottle cages,Bold Bike Accessories,New,"$1,020.36 ",Topeka,,US,,,555-0135,KA,1234 Canyon Road,Ste. 312,,20593,First name Last name,6/26/2007,,4/11/2008,Bold Bike Accessories order for 100 Road bottle cages,$66.87 ,FOB,,First name Last name,6/26/2007,,$13.84 ,SO2a,Jose Curry,Net 45,Wholesale,No,,,6/24/2008,,Topeka,,US,,,,555-0152,KA,1234 Canyon Road,Ste. 312,,20593,Airborne,,Active,,,$899.00 ,$13.84 ,$0.00 ,$885.16 ,$68.32 ,-1,0,2,0,0,0,-1,3,2,0,0,0
Brakes,Solid Bike Parts,New,"$4,872.84 ",Denver,,US,,,555-0135,CO,Northwest Colorado Blvd.,,,10046,First name Last name,6/26/2007,,4/11/2008,"Solid Bike Parts order for 20 brakes, front and rear",$326.89 ,FOB,,First name Last name,6/26/2007,,$67.63 ,SO14,Jose Curry,Net 60,Wholesale,No,,,6/24/2008,,Denver,,US,,,,555-0165,CO,Northwest Colorado Blvd.,,,10046,Airborne,,Active,,,"$4,279.60 ",$67.63 ,$0.00 ,"$4,211.97 ",$333.98 ,-1,0,3,0,0,0,-1,4,3,0,0,0
Classic Jersey order,Scooters and Bikes Store,New,"$2,760.98 ",San Antonio,,US,,,555-0135,TX,56789 Stars Roadway,,,20175,First name Last name,6/26/2007,,4/11/2008,Scooters and Bikes Store order for 45 short-sleeved jerseys,$182.62 ,FOB,,First name Last name,6/26/2007,,$37.78 ,SO8,Jose Curry,"2% 10, Net 30",Wholesale,No,,,6/24/2008,,San Antonio,,US,,,,555-0135,TX,56789 Stars Roadway,,,20175,Airborne,,Active,,,"$2,429.55 ",$37.78 ,$0.00 ,"$2,391.77 ",$186.59 ,-1,0,4,0,0,0,-1,5,4,0,0,0
Hitch rack order,Bike Universe,New,"$6,868.00 ",Round Rock,,US,,,555-0178,TX,56789 Bright Road,,,98928,First name Last name,6/26/2007,,4/11/2008,Bike Universe order for 4-bike hitch racks,$451.01 ,FOB,,First name Last name,6/26/2007,,$93.31 ,SO1,Gail Erickson,Net 30,Wholesale,No,,,6/24/2008,,Round Rock,,US,,,,555-0135,TX,56789 Bright Road,,,98928,Airborne,,Active,,,"$6,049.50 ",$93.31 ,$0.00 ,"$5,956.19 ",$460.80 ,-1,0,5,0,0,0,-1,2,5,0,0,0
ML Mountain Pedal order,Bold Bike Accessories,New,"$4,120.80 ",Topeka,,US,,,555-0135,KA,1234 Canyon Road,Ste. 312,,20593,First name Last name,6/26/2007,,4/11/2008,Bold Bike Accessories order for ML Mountain Pedal,$270.60 ,FOB,,First name Last name,6/26/2007,,$55.99 ,SO2,Jose Curry,Net 45,Wholesale,No,,,6/24/2008,,Topeka,,US,,,,555-0120,KA,1234 Canyon Road,Ste. 312,,20593,FedEx,,Active,,,"$3,629.70 ",$55.99 ,$0.00 ,"$3,573.71 ",$276.48 ,-1,0,6,0,0,0,-1,3,6,0,0,0
ML-Road-Frame order,Litware Inc.,New,"$8,152.26 ",Houston,,US,,,555-0135,TX,990 Mountain Hill Blvd,,,97300,First name Last name,6/26/2007,,2/20/2008,"Order for 12 ML-Road-Frames, color red",$558.90 ,FOB,,First name Last name,6/26/2007,They sell both touring frames and bikes. May order saddles as well.,$115.64 ,130,Jose Curry,"2% 10, Net 30",Wholesale,No,,red frame quote,7/9/2008,Address,Houston,,US,,,,555-0190,TX,990 Mountain Hill Blvd,,,97300,UPS,,Active,,,"$7,137.96 ",$115.64 ,$0.00 ,"$7,022.32 ",$571.04 ,-1,0,7,0,0,0,-1,4,7,0,0,0
Mountain bike order,Specialty Sports Store,New,"$87,718.70 ",Dallas,,US,,,555-0135,TX,45678 78th Street,,,95486,First name Last name,6/26/2007,,4/11/2008,"Specialty Sports Store order for Mountain-200 Black, 38","$5,802.02 ",FOB,,First name Last name,6/26/2007,,"$1,200.42 ",SO3,Jose Curry,Net 45,Wholesale,No,,,6/24/2008,,Dallas,,US,,,,555-0189,TX,45678 78th Street,,,95486,FedEx,,Active,,,"$77,189.10 ","$1,200.42 ",$0.00 ,"$75,988.68 ","$5,927.99 ",-1,0,8,0,0,0,-1,5,8,0,0,0
Mountain-100 order,Major Sport Suppliers,New,"$43,216.34 ",Chicago,,US,,,555-0158,IL,100 72nd Plaza Drive,Ste. 123,,80849,First name Last name,6/26/2007,2/14/2007,8/26/2006,Order for 10 Mountain-100's,"$2,962.64 ",FOB,,First name Last name,6/26/2007,Probably going to choose our mountain bikes for this year.,$612.96 ,100,Gail Erickson,"2% 10, Net 30",Wholesale,No,,Mountain-100 quote,7/9/2008,Address,Chicago,,US,,,,555-0135,IL,100 72nd Plaza Drive,Ste. 123,,80849,UPS,,Active,,,"$37,839.70 ",$612.96 ,$0.00 ,"$37,226.74 ","$3,026.96 ",-1,0,9,0,0,0,-1,2,9,0,0,0
Mountain-400 order,Specialty Sports Store,New,"$24,546.96 ",Dallas,,US,,,555-0135,TX,45678 78th Street,,,95486,First name Last name,6/26/2007,,4/11/2008,Specialty Sports Store order for 25 women's mountain bikes,"$1,638.03 ",FOB,,First name Last name,6/26/2007,,$338.90 ,SO3a,Jose Curry,Net 30,Wholesale,No,,,6/24/2008,,Dallas,,US,,,,555-0135,TX,45678 78th Street,,,95486,FedEx,,Active,,,"$21,574.25 ",$338.90 ,$0.00 ,"$21,235.35 ","$1,673.59 ",-1,0,10,0,0,0,-1,3,10,0,0,0
